program_id,program_name,program_type,sector_focus,start_year,location,description
1,CAPACITI,Talent Accelerator,Digital Skills,2018,Cape Town,Digital career accelerator preparing graduates for tech roles
2,Injini,Incubator,EdTech,2017,Cape Town,Africa's first EdTech incubator
3,UVU Bio,Innovation Hub,Biotechnology,2020,Cape Town,Open-access biotech lab for scientific startups
4,UVU Accelerate,Accelerator,Multi-sector,2019,Cape Town,Startup acceleration across multiple sectors
5,FinTech Hub,Innovation Hub,FinTech,2016,Cape Town,Financial technology innovation and collaboration
6,AI Launchpad,Accelerator,AI/ML,2021,Johannesburg,AI startup support and mentorship programme
7,Bandwidth Barn,Incubator,Multi-sector,1999,Cape Town,Africa's oldest tech incubator
8,Digital Village,Training Centre,Digital Skills,2020,Durban,Community digital skills training hub
9,EduTech Rise,Incubator,EdTech,2022,Gqeberha,EdTech incubator for Eastern Cape founders
10,CleanTech Lab,Innovation Hub,CleanTech,2022,Cape Town,Sustainability and clean technology incubator
